Filename,Mean,Standard Deviation,Median,Maximum Value,Minimum Value,Range,Interquartile Range,Q1,Q3,Kurtosis,Skewness
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_1.csv,0.5527041319560146,0.013903006015052347,0.5511,0.7126,0.5241,0.1885,0.012299999999999978,0.5451,0.5574,32.93474183502173,4.086614804728441
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_10.csv,0.5503877040986337,0.012823303478189484,0.5497,0.6491,0.4535,0.1956,0.011800000000000033,0.5443,0.5561,9.788525723493485,0.27351806806179535
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_100.csv,0.550492035988004,0.008197991210455427,0.5495,0.5876,0.5185,0.06910000000000005,0.010000000000000009,0.5454,0.5554,0.8839327758468083,0.3130442601837205
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_101.csv,0.5503927024325225,0.00857762224596211,0.5495,0.5876,0.5238,0.06379999999999997,0.010499999999999954,0.5449,0.5554,1.0313900359859831,0.5183790570362523
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_11.csv,0.5504965011662779,0.00841567413148913,0.5492,0.59,0.5204,0.0696,0.010800000000000032,0.5448,0.5556,1.5771825695489445,0.7135040723747029
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_12.csv,0.5504023658780406,0.0244176985893584,0.5501,0.6924,0.255,0.4374,0.012600000000000056,0.5447,0.5573,28.883426251472706,-1.8514582376650086
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_13.csv,0.5503948683772075,0.020249194230660215,0.5502,0.6743,0.362,0.3123,0.014399999999999968,0.5433,0.5577,18.864974647916213,-1.571987375964227
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_14.csv,0.5504764745084971,0.01061245493277121,0.5501,0.5902,0.4898,0.10039999999999993,0.012699999999999934,0.544,0.5567,1.5283707663228139,-0.02279829734432361
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_15.csv,0.5504883038987004,0.011497176457241496,0.5497,0.6266,0.4622,0.16440000000000005,0.011400000000000077,0.5448,0.5562,6.054883025890177,0.022953020696799328
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_16.csv,0.5503671109630123,0.007485771923056194,0.5494,0.5876,0.5271,0.0605,0.010000000000000009,0.5453,0.5553,1.004007923739204,0.4753682957426617
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_17.csv,0.5504979340219927,0.01546664138493914,0.5499,0.68,0.4116,0.2684,0.011199999999999988,0.5449,0.5561,22.999932448270386,-0.604236670054422
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_18.csv,0.5503456847717428,0.017989532017424224,0.5496,0.6804,0.389,0.2914,0.013499999999999956,0.5434,0.5569,11.385047634755757,0.028592851772049083
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_19.csv,0.5505488503832056,0.007312672984479797,0.5496,0.5876,0.5291,0.058499999999999996,0.009500000000000064,0.5456,0.5551,0.729925867443523,0.5274899642331912
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_2.csv,0.550306664445185,0.0084849259810383,0.5495,0.5876,0.5288,0.05879999999999996,0.01200000000000001,0.5442,0.5562,0.3055729725795766,0.4623525103189908
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_20.csv,0.5503459513495501,0.007323620992125344,0.5494,0.5876,0.5253,0.06230000000000002,0.009400000000000075,0.5456,0.555,0.8409373364010029,0.4071206346835946
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_21.csv,0.5504171942685772,0.0068702312618945955,0.5496,0.5876,0.5301,0.057499999999999996,0.009200000000000097,0.5458,0.555,0.40562598093606494,0.4114044039125073
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_22.csv,0.550430123292236,0.007678700342600995,0.5497,0.5876,0.5242,0.06340000000000001,0.009700000000000042,0.5453,0.555,1.1584315155954021,0.5113981043219225
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_23.csv,0.5504577807397534,0.007027397830864726,0.5497,0.5876,0.5283,0.05930000000000002,0.009500000000000064,0.5456,0.5551,0.5381274076427052,0.32950041263640284
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_24.csv,0.5504664111962679,0.0070800662484796885,0.5499,0.5876,0.528,0.059599999999999986,0.009700000000000042,0.5456,0.5553,0.47404823714123046,0.38107557514121865
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_25.csv,0.5503806397867378,0.006974053942330565,0.5496,0.5876,0.5296,0.05800000000000005,0.009199999999999986,0.5456,0.5548,0.4040008807812576,0.49775442436111167
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_26.csv,0.5504669776741086,0.007223553545808881,0.5496,0.5876,0.5271,0.0605,0.009800000000000031,0.5453,0.5551,0.5425184009009962,0.4463201848806858
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_27.csv,0.5505038987004333,0.0072559199826809214,0.5499,0.5876,0.5131,0.07450000000000001,0.009400000000000075,0.5456,0.555,1.4774103938525647,0.2476459897274929
normalized_corrected_filtered_integer_H_001_231215_B27B140814231215S_H_segment_28.csv,0.5503848383872043,0.007053847180714406,0.5494,0.5876,0.5296,0.05800000000000005,0.009199999999999986,0.5456,0.5548,0.5726474046884364,0.5064723305833387
